Horodatage,Température (°C),Humidité (%),Pression (hPa),Vitesse Vent (m/s),Direction Vent (°),Rafale Vent (m/s),Direction Rafale (°),Taux de pluie (mm/h),Batterie (volts),statut de la température,statut du LOG,statut du WSS,statut du GPS
2025-05-09 10:16:07,22.6,34.5,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:08,22.6,34.5,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:08,22.6,34.6,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:09,22.6,34.6,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:09,22.6,34.6,1010.3,0.0,261.1,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:09,22.6,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:10,22.5,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:10,22.5,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:10,22.5,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:11,22.5,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:11,22.6,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:12,22.6,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:12,22.6,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:12,22.6,34.6,1010.3,0.0,261.2,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:13,22.5,34.6,1010.3,0.0,261.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:13,22.5,34.6,1010.3,0.0,261.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:14,22.5,34.6,1010.3,0.0,261.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:14,22.5,34.6,1010.3,0.0,261.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:14,22.5,34.6,1010.3,0.0,263.0,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:15,22.5,34.6,1010.3,0.0,263.0,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:15,22.5,34.6,1010.3,0.0,263.0,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:15,22.5,34.6,1010.3,0.0,263.0,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:16,22.6,34.6,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:16,22.6,34.6,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:17,22.6,34.6,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:17,22.6,34.6,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:17,22.6,34.7,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:18,22.6,34.7,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:18,22.6,34.7,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:18,22.6,34.7,1010.3,0.0,264.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:19,22.6,34.7,1010.3,0.0,264.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:19,22.6,34.6,1010.3,0.0,264.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:20,22.6,34.6,1010.3,0.0,264.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:20,22.6,34.6,1010.3,0.0,264.6,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:16:20,22.6,34.6,1010.3,0.0,264.7,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
